"title"|"fix_title"|"author"|"id"|"category"
The Psychology of Money|The Psychology of Money|Morgan Housel|3|Finance
Sapiens|Sapien - Riwayat Singkat Umat Manusia|Yuval Noah Harari|5|History
"3 Menit Membuat Anak Keranjingan Belajar"|"3 Menit Membuat Anak Keranjingan Belajar"|Reza Rifanto|6|Education
"3 Teknik Mahir Berbicara di Depan Publik  - Sederhana & Sangat Cocok Untuk Pemula"|"3 Teknik Mahir Berbicara di Depan Publik  - Sederhana & Sangat Cocok Untuk Pemula"|Hebby Agus Kurnia|7|Communication
"30 Tips Baca Membaca Itu Nikmat!"|"30 Tips Baca Membaca Itu Nikmat"|Adi Wahyu Adji|8|Education
"33 Inspirasi Rumah Muslim"|"33 Inspirasi Rumah Muslim"|Gaut Susanta|9|Self-Improvement
"365 Tips Sehat Tanpa Sakit"|"365 Tips Sehat Tanpa Sakit"|Cytia Widjaja|10|Lifestyle
"5 Pilar Kepemimpinan di Abad 21"|"5 Pilar Kepemimpinan di Abad 21"|Emha Ainun Nadjib|11|Leadership
"5 Pilar Kepemimpinan di Abad 21"|"5 Pilar Kepemimpinan di Abad 21"|Dr. dr. Agustinus Johaned Djohan, MM|11|Leadership
"50 Topik Ngobrol (Jet Veetlev)"|"50 Topik Ngobrol"|Jet Veetlev|12|Communication
A Dog Called Money|A Dog Called Money|Bodo Schafer|13|Business
Aku yang Lebih Kuat dari Kemarin|Aku yang Lebih Kuat dari Kemarin|Farah Via Rahmawati|14|Self-Improvement
Baca Kilat! - Mencapai 100 Persen Tujuan Membaca|Baca Kilat! - Mencapai 100 Persen Tujuan Membaca|Agus Setiawan|16|Education
Deep Work|Deep Work|Cal Newport|2|Productivity
Bahagia, Kenapa Tidak (Reza Alexander.|Bahagia, Kenapa Tidak|Reza A.A Wattimena|17|Self-Improvement
Berdamai dengan Rasa Malas|Berdamai dengan Rasa Malas|Munita Yeni|19|Self-Improvement
Blue Ocean Shift|Blue Ocean Shift|W. Chan Kim & Renee Mauborgne|21|Business
Blue Ocean Strategy|Blue Ocean Strategy|W. Chan Kim & Renee Mauborgne|22|Business
Cara Cepat Membaca Bahasa Tubuh|Cara Cepat Membaca Bahasa Tubuh|Unknown Author|23|Communication
